px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
163.623	28.7709	3.13655	0.533741	0.0520761	-144.068	-77.574	164.155	28.8064	2.64354	1.28825	0.0705225
163.731	28.789	3.20355	0.532467	0.0713176	166.713	0.17676	164.155	28.8064	2.64354	1.28825	3.03024
166.805	30.2005	4.33191	0.301593	-0.124647	58.9408	-156.069	166.809	30.0721	2.63006	1.22694	0.941756
166.738	30.1781	3.40702	0.378455	0.0239402	169.375	0.176335	166.809	30.0721	2.63006	1.22694	2.15549
169.099	31.3715	3.30889	0.468193	0.0661722	168.932	-7.47288	169.452	31.2706	2.61238	1.15075	0.0139023
169.119	31.3757	3.13427	0.479802	0.0945462	172.106	0.179375	169.452	31.2706	2.61238	1.15075	0.192951
172.155	32.3384	4.01477	0.142953	-0.183811	103.692	137.449	172.079	32.3873	2.58945	1.06126	0.805833
172.139	32.322	3.27449	0.0986699	-0.237755	175.207	0.187543	172.079	32.3873	2.58945	1.06126	1.12703
174.645	33.4534	3.19534	0.515994	0.17956	-79.9948	155.245	174.685	33.4095	2.56021	0.960341	0.494591
174.627	33.4527	2.9836	0.541747	0.21554	177.74	0.191993	174.685	33.4095	2.56021	0.960341	0.101416
177.024	34.2068	2.94093	0.230513	-0.12654	-165.894	61.7962	177.261	34.3262	2.52363	0.850119	0.369272
177.038	34.2041	2.74526	0.216841	-0.132214	180.415	0.188724	177.261	34.3262	2.52363	0.850119	0.237435
180.127	35.1361	3.80136	0.325004	0.0203835	-150.212	-99.4415	179.799	35.1289	2.47883	0.732949	0.91372
180.015	35.1203	2.88853	0.386885	0.10681	183.014	0.195082	179.799	35.1289	2.47883	0.732949	3.02375
182.59	35.7554	3.25773	0.133101	-0.122646	-66.9298	-169.891	182.292	35.8114	2.42515	0.611338	0.262854
182.498	35.7342	2.7186	0.115158	-0.145894	185.623	0.19662	182.292	35.8114	2.42515	0.611338	1.93866
184.73	36.5078	2.84481	0.425259	0.143776	69.7462	-171.059	184.73	36.37	2.36226	0.487877	0.247198
184.73	36.5115	2.50006	0.466566	0.196681	188.335	0.193118	184.73	36.37	2.36226	0.487877	0.147979
186.936	36.9469	2.7137	0.0705513	-0.181192	135.677	-128.61	187.103	36.804	2.29017	0.365145	0.471898
186.999	36.9558	2.64521	0.0294753	-0.218477	190.903	0.194716	187.103	36.804	2.29017	0.365145	1.14859
189.457	37.3979	3.03645	0.250284	0.0605992	181.338	-54.8952	189.401	37.1147	2.20928	0.245623	0.333732
189.482	37.4073	2.49935	0.309895	0.113231	193.303	0.19234	189.401	37.1147	2.20928	0.245623	0.723631
191.729	37.5698	2.70648	-0.0472764	-0.185079	189.964	-26.0039	191.615	37.3064	2.12037	0.131591	0.282883
191.699	37.5597	2.39236	-0.078956	-0.229047	195.242	0.191259	191.615	37.3064	2.12037	0.131591	0.260829
193.473	37.2769	2.25793	-0.200608	-0.161615	176.641	-78.9253	193.738	37.3853	2.02462	0.0250452	0.0221351
193.495	37.2812	2.30071	-0.193878	-0.154646	197.14	0.19099	193.738	37.3853	2.02462	0.0250452	0.10628
195.968	37.3915	3.25942	0.249383	0.219606	187.236	-57.9257	195.762	37.3598	1.92349	-0.072386	1.08706
195.835	37.3976	2.34104	0.300957	0.300963	199.069	0.189454	195.762	37.3598	1.92349	-0.072386	3.71802
197.721	37.7348	2.40629	0.203425	0.0538974	197.639	5.8198	197.683	37.2395	1.81869	-0.159495	0.172046
197.673	37.7243	2.07319	0.185574	0.0429594	201.073	0.186601	197.683	37.2395	1.81869	-0.159495	0.5189
199.294	37.2995	1.91533	-0.411494	-0.355532	182.542	-79.9777	199.497	37.0353	1.71212	-0.235529	0.468464
199.309	37.3046	2.01052	-0.393392	-0.32949	202.826	0.185219	199.497	37.0353	1.71212	-0.235529	0.0556725
201.523	36.9897	2.88215	0.0168854	0.138334	153.922	-130.116	201.203	36.7587	1.6057	-0.300201	1.36607
201.371	36.9946	2.12066	-0.111807	-0.0342411	204.396	0.18436	201.203	36.7587	1.6057	-0.300201	4.09533
202.963	36.4601	2.1308	-0.330453	-0.146748	65.4831	-192.109	202.801	36.4212	1.50137	-0.353671	0.0359498
202.918	36.4469	1.76554	-0.399367	-0.262153	206.045	0.181759	202.801	36.4212	1.50137	-0.353671	0.490723
203.993	36.1855	1.24419	-0.219957	0.00469369	13.9391	-203.514	204.294	36.0343	1.40095	-0.396497	0.308075
203.992	36.17	1.51822	-0.155733	0.101573	207.015	0.176232	204.294	36.0343	1.40095	-0.396497	0.721397
